iso3,metric,age_band,sex,value,year,source
BIH,pop_share_65plus_pct,,,22.2302388589029,2024,World Bank WDI (UN World Population Prospects)
BLR,pop_share_65plus_pct,,,17.6665640538227,2024,World Bank WDI (UN World Population Prospects)
CHE,pop_share_65plus_pct,,,20.0190518226838,2024,World Bank WDI (UN World Population Prospects)
CYP,pop_share_65plus_pct,,,14.616184268068,2024,World Bank WDI (UN World Population Prospects)
CZE,pop_share_65plus_pct,,,20.8453836809891,2024,World Bank WDI (UN World Population Prospects)
DEU,pop_share_65plus_pct,,,23.1955871731941,2024,World Bank WDI (UN World Population Prospects)
DNK,pop_share_65plus_pct,,,20.8660704666167,2024,World Bank WDI (UN World Population Prospects)
ESP,pop_share_65plus_pct,,,21.1454438932121,2024,World Bank WDI (UN World Population Prospects)
EST,pop_share_65plus_pct,,,21.2973321004949,2024,World Bank WDI (UN World Population Prospects)
FIN,pop_share_65plus_pct,,,23.8972369428395,2024,World Bank WDI (UN World Population Prospects)
FRA,pop_share_65plus_pct,,,22.1465618989138,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_share_65plus_pct,,,19.4997673608515,2024,World Bank WDI (UN World Population Prospects)
GRC,pop_share_65plus_pct,,,23.939763430194,2024,World Bank WDI (UN World Population Prospects)
HRV,pop_share_65plus_pct,,,23.1877713482095,2024,World Bank WDI (UN World Population Prospects)
HUN,pop_share_65plus_pct,,,20.9931972318078,2024,World Bank WDI (UN World Population Prospects)
IRL,pop_share_65plus_pct,,,15.8920783803289,2024,World Bank WDI (UN World Population Prospects)
ISL,pop_share_65plus_pct,,,15.6448154592516,2024,World Bank WDI (UN World Population Prospects)
ITA,pop_share_65plus_pct,,,24.624776723376,2024,World Bank WDI (UN World Population Prospects)
LIE,pop_share_65plus_pct,,,20.7261098570354,2024,World Bank WDI (UN World Population Prospects)
LTU,pop_share_65plus_pct,,,20.1664889015269,2024,World Bank WDI (UN World Population Prospects)
LUX,pop_share_65plus_pct,,,15.4763638200631,2024,World Bank WDI (UN World Population Prospects)
LVA,pop_share_65plus_pct,,,21.7358403074143,2024,World Bank WDI (UN World Population Prospects)
MCO,pop_share_65plus_pct,,,36.1665501799073,2024,World Bank WDI (UN World Population Prospects)
MDA,pop_share_65plus_pct,,,16.2115124727323,2024,World Bank WDI (UN World Population Prospects)
MKD,pop_share_65plus_pct,,,18.0247601630052,2024,World Bank WDI (UN World Population Prospects)
MLT,pop_share_65plus_pct,,,20.2123026573043,2024,World Bank WDI (UN World Population Prospects)
MNE,pop_share_65plus_pct,,,17.8320804850907,2024,World Bank WDI (UN World Population Prospects)
NLD,pop_share_65plus_pct,,,20.4960775816586,2024,World Bank WDI (UN World Population Prospects)
NOR,pop_share_65plus_pct,,,18.7852406279027,2024,World Bank WDI (UN World Population Prospects)
POL,pop_share_65plus_pct,,,20.1434028173028,2024,World Bank WDI (UN World Population Prospects)
PRT,pop_share_65plus_pct,,,24.5306498594644,2024,World Bank WDI (UN World Population Prospects)
ROU,pop_share_65plus_pct,,,19.9809987731847,2024,World Bank WDI (UN World Population Prospects)
SMR,pop_share_65plus_pct,,,22.4099937464638,2024,World Bank WDI (UN World Population Prospects)
SRB,pop_share_65plus_pct,,,22.6860376805019,2024,World Bank WDI (UN World Population Prospects)
SVK,pop_share_65plus_pct,,,18.5373993543753,2024,World Bank WDI (UN World Population Prospects)
SVN,pop_share_65plus_pct,,,21.7723491779025,2024,World Bank WDI (UN World Population Prospects)
SWE,pop_share_65plus_pct,,,20.7467682423653,2024,World Bank WDI (UN World Population Prospects)
UKR,pop_share_65plus_pct,,,18.9624484896371,2024,World Bank WDI (UN World Population Prospects)
USA,pop_share_65plus_pct,,,17.9287302134033,2024,World Bank WDI (UN World Population Prospects)
XKX,pop_share_65plus_pct,,,10.0741041910268,2024,World Bank WDI (UN World Population Prospects)
