iso3,metric,household,earnings,value,year,source
POL,net_personal_avg_tax_rate_pct,single_nokids,100aw,24.071242,2024,OECD Taxing Wages (comparative)
PRT,net_personal_avg_tax_rate_pct,single_nokids,100aw,25.226673,2024,OECD Taxing Wages (comparative)
SVK,net_personal_avg_tax_rate_pct,single_nokids,100aw,24.003191,2024,OECD Taxing Wages (comparative)
SVN,net_personal_avg_tax_rate_pct,single_nokids,100aw,35.751422,2024,OECD Taxing Wages (comparative)
SWE,net_personal_avg_tax_rate_pct,single_nokids,100aw,23.131632,2024,OECD Taxing Wages (comparative)
USA,net_personal_avg_tax_rate_pct,single_nokids,100aw,24.401846,2024,OECD Taxing Wages (comparative)
AUT,net_personal_avg_tax_rate_pct,single_nokids,167aw,36.745644,2024,OECD Taxing Wages (comparative)
BEL,net_personal_avg_tax_rate_pct,single_nokids,167aw,47.395218,2024,OECD Taxing Wages (comparative)
CHE,net_personal_avg_tax_rate_pct,single_nokids,167aw,22.888087,2024,OECD Taxing Wages (comparative)
CZE,net_personal_avg_tax_rate_pct,single_nokids,167aw,23.248628,2024,OECD Taxing Wages (comparative)
DEU,net_personal_avg_tax_rate_pct,single_nokids,167aw,41.502832,2024,OECD Taxing Wages (comparative)
DNK,net_personal_avg_tax_rate_pct,single_nokids,167aw,41.955241,2024,OECD Taxing Wages (comparative)
ESP,net_personal_avg_tax_rate_pct,single_nokids,167aw,29.274129,2024,OECD Taxing Wages (comparative)
EST,net_personal_avg_tax_rate_pct,single_nokids,167aw,21.28,2024,OECD Taxing Wages (comparative)
FIN,net_personal_avg_tax_rate_pct,single_nokids,167aw,38.489686,2024,OECD Taxing Wages (comparative)
FRA,net_personal_avg_tax_rate_pct,single_nokids,167aw,33.715466,2024,OECD Taxing Wages (comparative)
GBR,net_personal_avg_tax_rate_pct,single_nokids,167aw,29.984802,2024,OECD Taxing Wages (comparative)
GRC,net_personal_avg_tax_rate_pct,single_nokids,167aw,32.802121,2024,OECD Taxing Wages (comparative)
HUN,net_personal_avg_tax_rate_pct,single_nokids,167aw,33.5,2024,OECD Taxing Wages (comparative)
IRL,net_personal_avg_tax_rate_pct,single_nokids,167aw,35.877846,2024,OECD Taxing Wages (comparative)
ISL,net_personal_avg_tax_rate_pct,single_nokids,167aw,32.566873,2024,OECD Taxing Wages (comparative)
ITA,net_personal_avg_tax_rate_pct,single_nokids,167aw,39.403817,2024,OECD Taxing Wages (comparative)
LTU,net_personal_avg_tax_rate_pct,single_nokids,167aw,39.5,2024,OECD Taxing Wages (comparative)
LUX,net_personal_avg_tax_rate_pct,single_nokids,167aw,39.363858,2024,OECD Taxing Wages (comparative)
LVA,net_personal_avg_tax_rate_pct,single_nokids,167aw,29.602515,2024,OECD Taxing Wages (comparative)
NLD,net_personal_avg_tax_rate_pct,single_nokids,167aw,37.203068,2024,OECD Taxing Wages (comparative)
NOR,net_personal_avg_tax_rate_pct,single_nokids,167aw,35.106569,2024,OECD Taxing Wages (comparative)
POL,net_personal_avg_tax_rate_pct,single_nokids,167aw,27.69158,2024,OECD Taxing Wages (comparative)
PRT,net_personal_avg_tax_rate_pct,single_nokids,167aw,32.539034,2024,OECD Taxing Wages (comparative)
SVK,net_personal_avg_tax_rate_pct,single_nokids,167aw,26.593512,2024,OECD Taxing Wages (comparative)
SVN,net_personal_avg_tax_rate_pct,single_nokids,167aw,39.227176,2024,OECD Taxing Wages (comparative)
SWE,net_personal_avg_tax_rate_pct,single_nokids,167aw,33.605036,2024,OECD Taxing Wages (comparative)
USA,net_personal_avg_tax_rate_pct,single_nokids,167aw,29.225088,2024,OECD Taxing Wages (comparative)
AUT,net_personal_avg_tax_rate_pct,single_nokids,67aw,26.402156,2024,OECD Taxing Wages (comparative)
BEL,net_personal_avg_tax_rate_pct,single_nokids,67aw,31.437467,2024,OECD Taxing Wages (comparative)
CHE,net_personal_avg_tax_rate_pct,single_nokids,67aw,14.930189,2024,OECD Taxing Wages (comparative)
CZE,net_personal_avg_tax_rate_pct,single_nokids,67aw,18.24658,2024,OECD Taxing Wages (comparative)
DEU,net_personal_avg_tax_rate_pct,single_nokids,67aw,32.7034,2024,OECD Taxing Wages (comparative)
DNK,net_personal_avg_tax_rate_pct,single_nokids,67aw,33.015216,2024,OECD Taxing Wages (comparative)
ESP,net_personal_avg_tax_rate_pct,single_nokids,67aw,18.516072,2024,OECD Taxing Wages (comparative)
EST,net_personal_avg_tax_rate_pct,single_nokids,67aw,13.168797,2024,OECD Taxing Wages (comparative)
FIN,net_personal_avg_tax_rate_pct,single_nokids,67aw,22.573332,2024,OECD Taxing Wages (comparative)
FRA,net_personal_avg_tax_rate_pct,single_nokids,67aw,23.654755,2024,OECD Taxing Wages (comparative)
GBR,net_personal_avg_tax_rate_pct,single_nokids,67aw,18.0159,2024,OECD Taxing Wages (comparative)
GRC,net_personal_avg_tax_rate_pct,single_nokids,67aw,21.074549,2024,OECD Taxing Wages (comparative)
HUN,net_personal_avg_tax_rate_pct,single_nokids,67aw,33.5,2024,OECD Taxing Wages (comparative)
IRL,net_personal_avg_tax_rate_pct,single_nokids,67aw,16.590648,2024,OECD Taxing Wages (comparative)
ISL,net_personal_avg_tax_rate_pct,single_nokids,67aw,22.662855,2024,OECD Taxing Wages (comparative)
ITA,net_personal_avg_tax_rate_pct,single_nokids,67aw,18.41665,2024,OECD Taxing Wages (comparative)
LTU,net_personal_avg_tax_rate_pct,single_nokids,67aw,32.83277,2024,OECD Taxing Wages (comparative)
LUX,net_personal_avg_tax_rate_pct,single_nokids,67aw,23.4901,2024,OECD Taxing Wages (comparative)
LVA,net_personal_avg_tax_rate_pct,single_nokids,67aw,23.687805,2024,OECD Taxing Wages (comparative)
NLD,net_personal_avg_tax_rate_pct,single_nokids,67aw,18.623079,2024,OECD Taxing Wages (comparative)
NOR,net_personal_avg_tax_rate_pct,single_nokids,67aw,23.584403,2024,OECD Taxing Wages (comparative)
POL,net_personal_avg_tax_rate_pct,single_nokids,67aw,22.0472,2024,OECD Taxing Wages (comparative)
PRT,net_personal_avg_tax_rate_pct,single_nokids,67aw,21.125244,2024,OECD Taxing Wages (comparative)
SVK,net_personal_avg_tax_rate_pct,single_nokids,67aw,21.121449,2024,OECD Taxing Wages (comparative)
SVN,net_personal_avg_tax_rate_pct,single_nokids,67aw,32.499406,2024,OECD Taxing Wages (comparative)
SWE,net_personal_avg_tax_rate_pct,single_nokids,67aw,20.066985,2024,OECD Taxing Wages (comparative)
USA,net_personal_avg_tax_rate_pct,single_nokids,67aw,21.578435,2024,OECD Taxing Wages (comparative)
AUT,tax_to_gdp_pct,,,43.374411,2024,"OECD Revenue Statistics (comparative, % of GDP)"
BEL,tax_to_gdp_pct,,,42.571263,2024,"OECD Revenue Statistics (comparative, % of GDP)"
CHE,tax_to_gdp_pct,,,27.169048,2024,"OECD Revenue Statistics (comparative, % of GDP)"
CZE,tax_to_gdp_pct,,,33.975018,2024,"OECD Revenue Statistics (comparative, % of GDP)"
DEU,tax_to_gdp_pct,,,38.021492,2024,"OECD Revenue Statistics (comparative, % of GDP)"
DNK,tax_to_gdp_pct,,,45.177061,2024,"OECD Revenue Statistics (comparative, % of GDP)"
ESP,tax_to_gdp_pct,,,36.682055,2024,"OECD Revenue Statistics (comparative, % of GDP)"
EST,tax_to_gdp_pct,,,35.231248,2024,"OECD Revenue Statistics (comparative, % of GDP)"
FIN,tax_to_gdp_pct,,,42.217254,2024,"OECD Revenue Statistics (comparative, % of GDP)"
